Clave de metrópoli,Tipo de metrópoli,Nombre de la metrópoli,Clave de municipio,Municipio,ODS,Nombre del ODS,Clave de indicador,Indicador,Año,Valor,Ponderador
08.1.01,Zona metropolitana,Chihuahua,08002,Aldama,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,47.4403205999262,NA
08.1.01,Zona metropolitana,Chihuahua,08019,Chihuahua,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,217.358677570219,NA
08.1.01,Zona metropolitana,Chihuahua,08004,Aquiles Serdán,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,66.5461249442165,NA
08.1.02,Zona metropolitana,Delicias,08045,Meoqui,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,58.282803981684,NA
08.1.02,Zona metropolitana,Delicias,08021,Delicias,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,110.38952144064,NA
08.2.03,Metrópoli municipal,Juárez,08037,Juárez,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,112.920934759472,NA
08.3.04,Zona conurbada,Hidalgo del Parral,08059,San Francisco del Oro,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,122.279774050862,NA
08.3.04,Zona conurbada,Hidalgo del Parral,08032,Hidalgo del Parral,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,73.0519396097267,NA
09.1.01,Zona metropolitana,Ciudad de México,09006,Iztacalco,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,78.5443363443178,NA
09.1.01,Zona metropolitana,Ciudad de México,09007,Iztapalapa,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,36.9765289390955,NA
09.1.01,Zona metropolitana,Ciudad de México,09005,Gustavo A. Madero,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,40.7222379985861,NA
09.1.01,Zona metropolitana,Ciudad de México,09011,Tláhuac,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,19.0782893668644,NA
09.1.01,Zona metropolitana,Ciudad de México,15023,Coyotepec,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,10.3691447713074,NA
09.1.01,Zona metropolitana,Ciudad de México,15028,Chiautla,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,16.1946856865967,NA
09.1.01,Zona metropolitana,Ciudad de México,09013,Xochimilco,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,47.6807836833108,NA
09.1.01,Zona metropolitana,Ciudad de México,09004,Cuajimalpa de Morelos,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,682.555145049416,NA
09.1.01,Zona metropolitana,Ciudad de México,15060,Nicolás Romero,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,16.5381872922395,NA
09.1.01,Zona metropolitana,Ciudad de México,09010,Álvaro Obregón,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,362.818930532674,NA
09.1.01,Zona metropolitana,Ciudad de México,15011,Atenco,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,8.9680077653339,NA
