no,cve_ent,year,valor
36,00,1998,43.06028078770045
36,01,1998,45.0051288661178
36,02,1998,41.64808772613377
36,03,1998,34.00930883367505
36,04,1998,29.18265113387065
36,05,1998,57.25471925301385
36,06,1998,45.5276656448235
36,07,1998,22.52361793805901
36,08,1998,42.67505719828885
36,09,1998,66.82682664219693
36,10,1998,46.90078143081999
36,11,1998,51.221938538828155
36,12,1998,26.825428167608912
36,13,1998,36.46273125047977
36,14,1998,48.62215911108404
36,15,1998,42.48787738580569
36,16,1998,39.69792989879499
36,17,1998,47.28391057479259
36,18,1998,34.36370589407576
36,19,1998,43.945921163552775
36,20,1998,30.002275633321556
36,21,1998,44.06804917422079
36,22,1998,36.697220933320494
36,23,1998,19.50023339341843
36,24,1998,35.82373856362797
36,25,1998,34.85264616254644
36,26,1998,46.74774445533664
36,27,1998,37.6420185305517
36,28,1998,50.760428851844104
36,29,1998,43.90343335302019
36,30,1998,37.86345261395352
36,31,1998,38.71647621991684
36,32,1998,35.15552514381147
36,00,1999,46.579810056367705
36,01,1999,50.06329053888126
36,02,1999,48.10785409238855
36,03,1999,39.74008094676011
36,04,1999,31.92110143688289
36,05,1999,58.21929353675077
36,06,1999,44.8665081755714
36,07,1999,23.964352069254172
36,08,1999,48.1904898402219
36,09,1999,72.74294456206755
36,10,1999,45.413538121916
36,11,1999,53.83360002378447
36,12,1999,29.35337155908795
36,13,1999,39.56924662271849
36,14,1999,53.39142654074524
36,15,1999,45.86713793503478
36,16,1999,46.282156122841066
36,17,1999,48.43974551787806
36,18,1999,41.30706275669389
36,19,1999,44.42775080089604
36,20,1999,32.45739500563628
36,21,1999,47.33815986215565
36,22,1999,40.31271862717774
36,23,1999,18.712422607860844
36,24,1999,36.559843062694775
36,25,1999,37.84461446531301
36,26,1999,49.019102663655026
36,27,1999,36.48816864569043
36,28,1999,52.79233756928994
36,29,1999,50.18431704173201
36,30,1999,45.57723843602434
36,31,1999,36.661838131416566
36,32,1999,40.43941262840238
36,00,2000,47.06001552317327
36,01,2000,41.906087013964225
36,02,2000,44.79247422329329
36,03,2000,41.275315526856474
36,04,2000,29.399942904458705
36,05,2000,61.0425400858091
36,06,2000,42.1629984857984
36,07,2000,27.176905136084727
36,08,2000,42.9237898793084
36,09,2000,74.02866523157878
36,10,2000,45.21788735811958
36,11,2000,54.78340606640656
36,12,2000,29.600771529786968
36,13,2000,40.58074980135069
36,14,2000,50.38802957293401
36,15,2000,46.71097423181369
36,16,2000,49.23676866261487
36,17,2000,47.710620790776545
36,18,2000,41.16823944983874
36,19,2000,41.48096772898351
36,20,2000,33.83879561140345
36,21,2000,51.20551844579443
36,22,2000,43.169724926393194
