no,indicador,cve_ent,year,valor
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,01,1992,4.38057
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,02,1992,16.62004
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,03,1992,5.1633
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,04,1992,14.68144
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,05,1992,10.85931
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,06,1992,26.08636
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,07,1992,12.65946
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,08,1992,17.4095
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,09,1992,14.74748
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,10,1992,41.98106
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,11,1992,8.22355
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,12,1992,55.73654
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,13,1992,6.01334
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,14,1992,13.4941
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,15,1992,30.83468
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,16,1992,36.23193
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,17,1992,28.40931
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,18,1992,28.59138
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,19,1992,3.57356
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,20,1992,39.61902
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,21,1992,12.01512
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,22,1992,6.68402
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,23,1992,9.18253
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,24,1992,12.01329
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,25,1992,25.31906
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,26,1992,12.21221
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,27,1992,8.29669
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,28,1992,16.80811
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,29,1992,5.49995
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,30,1992,11.40407
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,31,1992,3.22921
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,32,1992,12.23684
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,01,1993,3.8866
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,02,1993,14.7963
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,03,1993,5.85841
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,04,1993,12.61241
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,05,1993,10.27974
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,06,1993,14.75691
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,07,1993,14.35578
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,08,1993,16.81787
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,09,1993,14.58281
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,10,1993,23.82932
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,11,1993,8.71787
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,12,1993,45.07411
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,13,1993,6.33463
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,14,1993,13.2128
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,15,1993,29.61516
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,16,1993,34.64406
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,17,1993,36.06034
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,18,1993,28.44765
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,19,1993,3.5226
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,20,1993,41.13878
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,21,1993,13.04215
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,22,1993,6.66989
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,23,1993,12.79282
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,24,1993,11.00939
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,25,1993,23.15722
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,26,1993,10.40251
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,27,1993,9.15424
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,28,1993,14.95027
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,29,1993,5.24977
