no,id,indicador,clasificacion,eje_pnd,umedida,definicion,fuente,periodo,periodicidad,observaciones,cobertura,ods,proyectos,sentido,algoritmo,propio,proxima_actualizacion,fuentes
68,NA,"Heridos por accidentes de tránsito por cada 100,000 habitantes",NA,NA,Por cada 100'000,Cuántas personas fueron heridas como resultado de un accidente de tránsito por cada 100'000 habitantes en su municipio,"INEGI. Accidentes de tránsito terrestre en zonas urbanas y suburbanas
https://www.inegi.org.mx/sistemas/olap/proyectos/bd/continuas/transporte/accidentes.asp
INEGI",2010-2018,Anual,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,M.1.1.107,Porcentaje de Población Afiliada al ISSSTE,1.1. Calidad de vida y seguridad social,Eje 2. Bienestar,Porcentaje,Porcentaje de la población afiliada al Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,NA,2015,Único,"Por el momento, solamente están disponibles los datos municipales para el Estado de Nayarit","Municipal, Nacional",3,Nayarit,Más es mejor,NA,Sí,NA,"Instituto Nacional de Estadística y Geografía (INEGI). Anuario Estadístico y Geográfico por Entidad Federativa, 2017. http://www.datatur.sectur.gob.mx/ITXef_Docs/NAY_ANUARIO_PDF.pdf
Instituto Nacional de Estadística y Geografía (INEGI). Encuesta Intercensal, 2015. https://www.inegi.org.mx/contenidos/programas/intercensal/2015/tabulados/07_servicios_de_salud.xls"
122,M.2.7.2.122,Ingresos por remesas per cápita,2.7.2. Balanza de pagos,Eje 3. Desarrollo económico,Dólares por persona,Ingresos por remesas per cápita,NA,2019,Único,NA,"Municipal, Nacional",8,Nayarit,Más es mejor,NA,Sí,NA,"Banco de México (Banxico). Sistema de Información Económica, 2013-2020. https://www.banxico.org.mx/SieInternet/consultarDirectorioInternetAction.do?&sector=1&accion=consultarDirectorioCuadros&locale=es"
128,M.2.13.2.128,Participación en la producción pecuaria estatal,2.13.2. Sector pecuario,Eje 3. Desarrollo económico,Porcentaje,"Es el porcentaje que representa el total del valor de la producción pecuaria (ganado bovino, ovino, aves) del municipio en el total del estado",NA,2006-2019,Anual,NA,Municipal,8,Nayarit,Más es mejor,NA,Sí,NA,Secretaría de Agricultura y Desarrollo Rural (SADER). Sistema de Información Agroalimentaria y Pesquera. http://infosiap.siap.gob.mx/gobmx/datosAbiertos.php
138,M.2.14.1.138,Coeficiente de especialización del personal ocupado en el sector Agricultura cría y explotación de animales aprovechamiento forestal pesca y caza pesca acuicultura,2.14.1. especialización,Eje 3. Desarrollo económico,indicador,"Es una medida que permite conocer el grado de especialización de un municipio en una actividad económica. Consiste en calcular la razón entre la proporción que representa una actividad económica en el total del personal ocupado del municipio y la misma proporción, pero a nivel nacional. Si es mayor que 1 indica que la importancia de la actividad en ese municipio es mayor que la que tiene a nivel nacional. Si es menor que 1, entonces la actividad es menos importante que a nivel nacional. Si es igual a 1, entonces en el municipio esa actividad es tan importante como lo es a nivel nacional.",NA,2004-2014,Quinquenal,NA,Municipal,8,Nayarit,No aplica,NA,Sí,2020-08-01T00:00:00Z,"Instituto Nacional de Estadística y Geografía (INEGI). Censo Económico 2014, 2014. https://www.inegi.org.mx/app/saich/v2/"
217,M.2.14.1.217,Índice de Complejidad Económica,2.14.1. especialización,Eje 3. Desarrollo económico,NA,"El Índice de Complejidad Económica (ECI) es una medida integral de las capacidades productivas de sistemas económicos grandes, usualmente ciudades, regiones o países.",NA,2016-2024,Anual,"Tomado de DataMéxico. Se repite la columna de Ponderador, a pesar de que no se puede ponderar como otros indicadores.  SI se requiere el índice por Área Metropolitana, consultar en el mismo sitio la información ya procesada para tal fin.",Municipal,9,NA,Más es mejor,NA,No,2024-01-01T00:00:00Z,"DataMéxico (https://datamexico.org). Complejidad Económica de México, Página Web. https://datamexico.org/es/profile/economic_complexity/1"
